"","GEOID","NAME","variable","estimate","moe"
"1","1901590057","Amaqua township, Boone County, Iowa","B19013_001",101094,15596
"2","1901590150","Beaver township, Boone County, Iowa","B19013_001",106250,76064
"3","1901590489","Cass township, Boone County, Iowa","B19013_001",79191,44605
"4","1901590756","Colfax township, Boone County, Iowa","B19013_001",53438,16864
"5","1901590969","Des Moines township, Boone County, Iowa","B19013_001",58227,7545
"6","1901591002","Dodge township, Boone County, Iowa","B19013_001",83281,21142
"7","1901591029","Douglas township, Boone County, Iowa","B19013_001",66131,5980
"8","1901591503","Garden township, Boone County, Iowa","B19013_001",62148,13327
"9","1901591629","Grant township, Boone County, Iowa","B19013_001",46250,21630
"10","1901591860","Harrison township, Boone County, Iowa","B19013_001",NA,NA
"11","1901592094","Jackson township, Boone County, Iowa","B19013_001",113869,13249
"12","1901592832","Marcy township, Boone County, Iowa","B19013_001",82727,19954
"13","1901593291","Peoples township, Boone County, Iowa","B19013_001",68125,42620
"14","1901593330","Pilot Mound township, Boone County, Iowa","B19013_001",54474,9857
"15","1901594176","Union township, Boone County, Iowa","B19013_001",111842,24219
"16","1901594782","Worth township, Boone County, Iowa","B19013_001",70670,12245
"17","1901594797","Yell township, Boone County, Iowa","B19013_001",59792,8124
