"County","stateName","state","countyFIPS5","ext_region_new"
"Adair","Iowa","IA","19001","21"
"Adams","Iowa","IA","19003","23"
"Allamakee","Iowa","IA","19005","5"
"Appanoose","Iowa","IA","19007","25"
"Audubon","Iowa","IA","19009","13"
"Benton","Iowa","IA","19011","11"
"Black Hawk","Iowa","IA","19013","10"
"Boone","Iowa","IA","19015","14"
"Bremer","Iowa","IA","19017","10"
"Buchanan","Iowa","IA","19019","10"
"Buena Vista","Iowa","IA","19021","7"
"Butler","Iowa","IA","19023","10"
"Calhoun","Iowa","IA","19025","7"
"Carroll","Iowa","IA","19027","14"
"Cass","Iowa","IA","19029","21"
"Cedar","Iowa","IA","19031","11"
"Cerro Gordo","Iowa","IA","19033","4"
"Cherokee","Iowa","IA","19035","7"
"Chickasaw","Iowa","IA","19037","5"
"Clarke","Iowa","IA","19039","24"
"Clay","Iowa","IA","19041","2"
"Clayton","Iowa","IA","19043","12"
"Clinton","Iowa","IA","19045","20"
"Crawford","Iowa","IA","19047","13"
"Dallas","Iowa","IA","19049","15"
"Davis","Iowa","IA","19051","26"
"Decatur","Iowa","IA","19053","24"
"Delaware","Iowa","IA","19055","12"
"Des Moines","Iowa","IA","19057","27"
"Dickinson","Iowa","IA","19059","2"
"Dubuque","Iowa","IA","19061","12"
"Emmet","Iowa","IA","19063","2"
"Fayette","Iowa","IA","19065","10"
"Floyd","Iowa","IA","19067","4"
"Franklin","Iowa","IA","19069","4"
"Fremont","Iowa","IA","19071","22"
"Greene","Iowa","IA","19073","14"
"Grundy","Iowa","IA","19075","9"
"Guthrie","Iowa","IA","19077","14"
"Hamilton","Iowa","IA","19079","8"
"Hancock","Iowa","IA","19081","3"
"Hardin","Iowa","IA","19083","9"
"Harrison","Iowa","IA","19085","13"
"Henry","Iowa","IA","19087","27"
"Howard","Iowa","IA","19089","5"
"Humboldt","Iowa","IA","19091","8"
"Ida","Iowa","IA","19093","7"
"Iowa","Iowa","IA","19095","19"
"Jackson","Iowa","IA","19097","12"
"Jasper","Iowa","IA","19099","18"
"Jefferson","Iowa","IA","19101","26"
"Johnson","Iowa","IA","19103","19"
"Jones","Iowa","IA","19105","11"
"Keokuk","Iowa","IA","19107","19"
"Kossuth","Iowa","IA","19109","3"
"Lee","Iowa","IA","19111","27"
"Linn","Iowa","IA","19113","11"
"Louisa","Iowa","IA","19115","27"
"Lucas","Iowa","IA","19117","25"
"Lyon","Iowa","IA","19119","1"
"Madison","Iowa","IA","19121","24"
"Mahaska","Iowa","IA","19123","18"
"Marion","Iowa","IA","19125","18"
"Marshall","Iowa","IA","19127","9"
"Mills","Iowa","IA","19129","22"
"Mitchell","Iowa","IA","19131","4"
"Monona","Iowa","IA","19133","6"
"Monroe","Iowa","IA","19135","25"
"Montgomery","Iowa","IA","19137","22"
"Muscatine","Iowa","IA","19139","20"
"O'Brien","Iowa","IA","19141","1"
"Osceola","Iowa","IA","19143","1"
"Page","Iowa","IA","19145","22"
"Palo Alto","Iowa","IA","19147","2"
"Plymouth","Iowa","IA","19149","6"
"Pocahontas","Iowa","IA","19151","8"
"Polk","Iowa","IA","19153","16"
"Pottawattamie","Iowa","IA","19155","21"
"Poweshiek","Iowa","IA","19157","18"
"Ringgold","Iowa","IA","19159","23"
"Sac","Iowa","IA","19161","7"
"Scott","Iowa","IA","19163","20"
"Shelby","Iowa","IA","19165","13"
"Sioux","Iowa","IA","19167","1"
"Story","Iowa","IA","19169","17"
"Tama","Iowa","IA","19171","9"
"Taylor","Iowa","IA","19173","23"
"Union","Iowa","IA","19175","23"
"Van Buren","Iowa","IA","19177","26"
"Wapello","Iowa","IA","19179","26"
"Warren","Iowa","IA","19181","24"
"Washington","Iowa","IA","19183","19"
"Wayne","Iowa","IA","19185","25"
"Webster","Iowa","IA","19187","8"
"Winnebago","Iowa","IA","19189","3"
"Winneshiek","Iowa","IA","19191","5"
"Woodbury","Iowa","IA","19193","6"
"Worth","Iowa","IA","19195","4"
"Wright","Iowa","IA","19197","3"
"Rock Island","Illinois","IL","17161",
"Jo Daviess","Illinois","IL","17085",
"Hancock","Illinois","IL","17067",
"Whiteside","Illinois","IL","17195",
"Carroll","Illinois","IL","17015",
"Henderson","Illinois","IL","17071",
"Mercer","Illinois","IL","17131",
"Nobles","Minnesota","MN","27105",
"Freeborn","Minnesota","MN","27047",
"Jackson","Minnesota","MN","27063",
"Martin","Minnesota","MN","27091",
"Rock","Minnesota","MN","27133",
"Faribault","Minnesota","MN","27043",
"Mower","Minnesota","MN","27099",
"Houston","Minnesota","MN","27055",
"Fillmore","Minnesota","MN","27045",
"Clark","Missouri","MO","29045",
"Mercer","Missouri","MO","29129",
"Atchison","Missouri","MO","29005",
"Harrison","Missouri","MO","29081",
"Schuyler","Missouri","MO","29197",
"Putnam","Missouri","MO","29171",
"Scotland","Missouri","MO","29199",
"Nodaway","Missouri","MO","29147",
"Worth","Missouri","MO","29227",
"Washington","Nebraska","NE","31177",
"Douglas","Nebraska","NE","31055",
"Sarpy","Nebraska","NE","31153",
"Cass","Nebraska","NE","31025",
"Otoe","Nebraska","NE","31131",
"Burt","Nebraska","NE","31021",
"Thurston","Nebraska","NE","31173",
"Dakota","Nebraska","NE","31043",
"Lincoln","South Dakota","SD","46083",
"Minnehaha","South Dakota","SD","46099",
"Union","South Dakota","SD","46127",
"Vernon","Wisconsin","WI","55123",
"Grant","Wisconsin","WI","55043",
"Crawford","Wisconsin","WI","55023",
